,DE ratio,Current,ROI,Revenue,Revenue,Revenue,EPS,EPS,EPS,BVPS,BVPS,BVPS,FCF,FCF,FCF,P/E Ratio
,D/E ratio,current,Mean,10Y CAGR,5Y CAGR,1Y CAGR,10Y CAGR,5Y CAGR,1Y CAGR,10Y CAGR,5Y CAGR,1Y CAGR,10Y CAGR,5Y CAGR,1Y CAGR,mean
ABBV,False,False,True,0.0887506497790286,0.1075619040690449,0.0156626873874148,inf,0.3685108578372633,0.4426229508196722,,0.2386605001886876,-2.5575539568345325,0.0971240897837022,0.3417481114243492,-0.0013292673391195,21.28482758620689
CSCO,True,True,True,0.0369287499080115,0.0194327111242078,0.0521792012973849,0.0953303483016483,0.1186412959731439,129.5,0.0134588682599521,-0.0528233402077619,0.1329113924050631,0.0532870399374694,0.0576994467062166,0.1592583973314716,27.34088888888888
TMO,True,True,False,0.0992826175353753,0.0862381463109411,0.0486082601198785,0.1639044477987454,0.1425354544521972,0.2665745856353589,0.0756118863973835,0.0897891391400649,0.0968446933479032,0.1073615973979391,0.1274463313068476,0.0646675358539765,27.484090909090916
AVGO,True,True,True,0.3129908164049333,0.395548473913168,0.0838929393706831,,0.4538351195105448,-0.7739099859353025,0.2644768544955482,0.302239564115651,0.0792152507865999,0.6058822883563342,0.6494700447784565,0.1024280999528524,32.92813953488372
XOM,True,False,True,-0.015770817426889,-0.0844917365588011,-0.0870880597632075,-0.0167915088532754,-0.1506139245761247,-0.3114754098360656,0.0387221501495516,0.0054948363756506,-0.0628890319811119,-0.0104308362260749,-0.1513343726524884,-0.6742700729927007,15.670454545454543
ACN,True,True,True,0.0643120372782279,0.0627640735477736,0.054204376356939,0.1167315828152575,0.1024220112916276,0.1608832807570979,0.1922691745180533,0.2193046399700566,0.1832618025751073,0.0751217328962423,0.1371795891701392,0.1147369394359685,19.546
QCOM,True,True,True,0.0885874732327529,-0.0173063790829817,0.0735040467029322,0.1421866619690153,-0.0504271275318987,-2.058997050147493,-0.0841929110358914,-0.2358488715544298,0.2517482517482516,0.0028640671494626,-0.0314270690825674,-0.4641812865497076,16.594545454545457
COST,True,True,True,0.0789505883806218,0.0627496864257703,0.0785938294626207,0.1283096679104753,0.1217741265362506,0.1650211565585331,0.0533411654074522,0.1135316236200529,0.1957686882933709,0.1474064850622918,0.1102016957659981,0.1971479500891266,25.03577777777778
CVX,True,True,True,-0.0156995879995324,-0.0712001624882902,-0.1191722927275023,-0.1152533164209224,-0.3140435356710839,-0.8010335917312661,0.0328922768910706,-0.0312155001561122,-0.1477642521393275,,,-0.2156186853678831,15.363181818181818
LLY,False,True,True,0.0021947202397749,0.026163935887741,0.0384776438840552,0.0847772133835396,0.3186191529540172,1.8402555910543132,-0.0697796777839752,-0.1761017868583875,0.445983379501385,0.005822953541575,0.0280729998672599,-0.1185006606550916,24.296136363636364
